address,经度,纬度,Serise_X,Serise_Y,平均价格
S1,118.887659,31.737687,49.09297052,13.63636364,8056.736842
S3,118.517253,31.909242,8.73015873,5.844155844,8250.5465
S3,118.531084,31.918826,8.73015873,9.632034632,8451
S3,118.547446,31.929882,8.73015873,13.31168831,8451
S3,118.558049,31.938032,8.73015873,17.0995671,8451
S3,118.567483,31.948288,8.73015873,20.67099567,9007
S3,118.574859,31.95826,8.73015873,24.45887446,9185.421053
S3,118.58838,31.97315,8.73015873,28.24675325,12557.58824
S3,118.665113,31.944342,19.04761905,31.38528139,19918.6
S3,118.67741,31.953164,23.24263039,32.79220779,23596.58333
S3,118.688338,31.968334,23.24263039,34.74025974,26704.55102
S3,118.693035,31.975465,23.24263039,36.58008658,28126.2963
S3,118.702696,31.97783,23.24263039,38.63636364,31734.83333
S3,118.712185,31.974264,26.41723356,39.93506494,32991.57317
S3,118.721361,31.966454,30.38548753,39.93506494,29912.23377
S3,118.734119,31.959242,32.99319728,39.93506494,23195.55385
S3,118.748257,31.962385,35.48752834,39.93506494,23976.36
S3,118.780883,31.992722,38.43537415,39.93506494,28688
S3,118.77869,31.962302,41.49659864,39.93506494,25700.65854
S3,118.796894,31.971094,45.23809524,39.93506494,26926.43056
S6,118.894721,32.049649,70.06802721,69.6969697,18913.38636
S6,118.915069,32.053407,72.22222222,69.48051948,15033.38806
S6,118.928506,32.053061,74.94331066,69.48051948,11545.52632
S6,118.952496,32.051792,77.89115646,69.48051948,10859.40909
S6,119.009178,32.049302,80.72562358,69.48051948,16895.08333
S6,119.052783,32.06142,83.5600907,69.48051948,11982.5
S6,119.067994,32.048019,86.39455782,69.48051948,9790
S6,119.05207,32.033838,89.22902494,69.48051948,9790
S6,119.115152,32.010309,92.06349206,68.18181818,5405
S6,119.170121,31.998074,94.67120181,66.88311688,5652
S6,119.186782,31.978643,96.37188209,66.88311688,5756
S6,119.18525,31.949757,98.07256236,66.88311688,6352
S6,119.176287,31.928595,99.20634921,65.58441558,6025
S7,118.887659,31.737687,48.97959184,13.63636364,8056.736842
S7,118.937897,31.75674,52.38095238,13.63636364,7501
S7,118.98925,31.733816,56.00907029,13.63636364,6926.333333
S7,119.014396,31.720852,59.63718821,13.63636364,5935
S7,119.04329,31.686304,62.81179138,12.98701299,5632.75
S7,119.04456,31.662698,64.62585034,10.82251082,6704.55
S7,119.045275,31.646761,66.09977324,8.982683983,7306.541667
S7,119.046113,31.624602,67.68707483,7.142857143,8125.5625
S7,119.046528,31.611448,69.27437642,5.194805195,8506.818182
S8,118.716268,32.144295,26.53061224,83.22510823,15277.52679
S8,118.718931,32.153441,27.09750567,85.71428571,15646.70677
S8,118.719487,32.177538,31.29251701,89.5021645,16223.65714
S8,118.726862,32.202394,35.37414966,92.53246753,13964.37037
S8,118.730587,32.214756,41.26984127,92.53246753,10679.14815
S8,118.740131,32.228848,46.93877551,92.53246753,10181.87179
S8,118.753717,32.244525,51.70068027,92.53246753,9638.5
S8,118.776599,32.273454,55.44217687,92.53246753,5981
S8,118.78556,32.28538,57.93650794,92.53246753,8173.052632
S8,118.805296,32.305162,60.99773243,92.53246753,6019
S8,118.82015,32.319014,64.05895692,92.53246753,9569.5
S8,118.836662,32.33461,67.80045351,95.23809524,9903.9
S8,118.845116,32.346842,71.99546485,96.64502165,10951.61538
S8,118.850115,32.359539,76.30385488,96.64502165,11560.7
S8,118.891854,32.399891,80.72562358,96.64502165,11282
S8,118.933243,32.42705,85.26077098,96.64502165,10853
S8,118.964583,32.465377,89.569161,96.64502165,9952
S9,118.829201,31.754866,40.47619048,14.5021645,23924
S9,118.881885,31.696082,40.58956916,11.7965368,11390.11111
S9,118.90738,31.640387,40.58956916,9.74025974,6419.666667
S9,118.902178,31.546324,40.58956916,7.683982684,7156
S9,118.887696,31.395788,40.58956916,5.519480519,13485.81818
S9,118.877193,31.340956,40.58956916,2.705627706,15471.47059
